Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,BP_RP
0.00061788,-1.4,10.07918,0.0899999961,1.0816895212,0.09,-3.191,3.4693,5.413,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.3e-17,0.0,0.7476,0.2518,0.0001174,3.167e-05,0.0002872,-1.0,0.0006528,12.748,30.33791177015782,32.322911770157816,29.047911770157818,3.2749999999999986
0.00061788,-1.4,10.07918,0.0979108885,1.1534145244,0.098,-2.969,3.5009,5.354,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.07e-17,0.0,0.7463,0.2531,0.0001174,3.167e-05,0.0002872,-1.0,0.0006528,12.194,29.599911770157817,31.09391177015782,28.42691177015782,2.6670000000000016
0.00061788,-1.4,10.07918,0.099999994,1.1711063499,0.1,-2.914,3.5089,5.339,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.04e-16,0.0,0.7459,0.2534,0.0001174,3.167e-05,0.0002872,-1.0,0.0006527,12.055,29.414911770157822,30.812911770157818,28.27191177015782,2.540999999999997
0.00061788,-1.4,10.07918,0.1199999973,1.3193154249,0.12,-2.629,3.5405,5.26,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2e-16,0.0,0.7434,0.2559,0.0001174,3.167e-05,0.0002872,-1.0,0.0006527,11.342,28.52691177015782,29.63091177015782,27.492911770157818,2.1380000000000017
0.00061788,-1.4,10.07918,0.1333705634,1.4015527516,0.133,-2.504,3.5512,5.224,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.63e-16,0.0,0.7421,0.2572,0.0001174,3.167e-05,0.0002872,-1.0,0.0006528,11.031,28.160911770157817,29.19191177015782,27.15991177015782,2.032
0.00061788,-1.4,10.07918,0.1400000006,1.4384526719,0.14,-2.447,3.5561,5.208,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.99e-16,0.0,0.7415,0.2578,0.0001174,3.167e-05,0.0002872,-1.0,0.0006527,10.888,27.99391177015782,28.99391177015782,27.00791177015782,1.9860000000000007
0.00061788,-1.4,10.07918,0.1599999964,1.5372931554,0.16,-2.306,3.5664,5.165,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.06e-16,0.0,0.7402,0.2592,0.0001174,3.167e-05,0.0002872,-1.0,0.0006528,10.534,27.59291177015782,28.53291177015782,26.63591177015782,1.897000000000002
0.00061788,-1.4,10.07918,0.2000000179,1.6938791367,0.2,-2.084,3.5799,5.095,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.43e-16,0.0,0.7389,0.2604,0.0001174,3.167e-05,0.0002872,-1.0,0.0006527,9.98,26.980911770157817,27.85191177015782,26.06091177015782,1.7910000000000004
0.00061788,-1.4,10.07918,0.25,1.8403257998,0.25,-1.88,3.591,5.032,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.23e-16,0.0,0.7388,0.2605,0.0001174,3.167e-05,0.0002872,-1.0,0.0006527,9.47,26.428911770157818,27.24791177015782,25.536911770157822,1.7109999999999985
0.00061788,-1.4,10.07918,0.3000000417,1.9529140366,0.3,-1.724,3.5995,4.99,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.34e-16,0.0,0.739,0.2603,0.0001173,3.167e-05,0.0002872,-1.0,0.0006528,9.081,26.00891177015782,26.791911770157817,25.13891177015782,1.6529999999999987
0.00061788,-1.4,10.07918,0.349999994,2.0434174644,0.35,-1.598,3.6068,4.96,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.78e-15,0.0,0.7419,0.2575,0.0001173,3.167e-05,0.0002872,-1.0,0.0006527,8.765,25.66891177015782,26.42191177015782,24.81691177015782,1.6050000000000004
0.00061788,-1.4,10.07918,0.3999999762,2.1185023988,0.4,-1.453,3.6181,4.917,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.44e-15,0.0,0.7499,0.2495,0.0001174,3.167e-05,0.0002872,-1.0,0.0006528,8.401,25.26791177015782,25.97691177015782,24.44291177015782,1.533999999999999
0.00061788,-1.4,10.07918,0.4499999881,2.1822809009,0.45,-1.277,3.6366,4.866,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.66e-15,0.0,0.7499,0.2494,0.0001174,3.167e-05,0.0002872,-1.0,0.0006527,7.962,24.77091177015782,25.40991177015782,23.99391177015782,1.4160000000000004
0.00061788,-1.4,10.07918,0.5,2.2374541529,0.5,-1.078,3.6636,4.821,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.78e-15,0.0,0.7499,0.2494,0.0001174,3.167e-05,0.0002872,-1.0,0.0006527,7.464,24.19191177015782,24.737911770157822,23.48591177015782,1.2520000000000024
0.00061788,-1.4,10.07918,0.5500000715,2.2836583126,0.55,-0.86,3.6905,4.752,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-9.83e-15,0.0,0.7844,0.2151,0.0001023,2.761e-05,0.0002506,-1.0,0.0005335,6.92,23.57891177015782,24.04491177015782,22.93991177015782,1.1050000000000004
0.00061788,-1.4,10.07918,0.6000000238,2.3211213258,0.6,-0.651,3.7187,4.693,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-1.63e-14,0.0,0.7947,0.2048,9.81e-05,2.65e-05,0.0002406,-1.0,0.0005378,6.397,23.00891177015782,23.40791177015782,22.43091177015782,0.9770000000000003
