Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,BP_RP
0.00077741,-1.3,10.04139,0.0900000036,1.0816895926,0.09,-3.202,3.4633,5.399,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.26e-17,0.0,0.7473,0.2518,0.0001471,3.97e-05,0.0003601,-1.0,0.0008183,12.774,30.4090964736696,32.5070964736696,29.096096473669597,3.4110000000000014
0.00077741,-1.3,10.04139,0.0981631428,1.155576703,0.098,-2.982,3.4946,5.342,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-8.93e-17,0.0,0.7462,0.253,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,12.224,29.663096473669597,31.244096473669597,28.465096473669597,2.779
0.00077741,-1.3,10.04139,0.1000000089,1.1711064744,0.1,-2.935,3.5013,5.33,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.99e-17,0.0,0.7459,0.2533,0.0001471,3.97e-05,0.0003601,-1.0,0.0008183,12.107,29.5040964736696,30.996096473669596,28.332096473669598,2.663999999999998
0.00077741,-1.3,10.04139,0.1199999973,1.3193154249,0.12,-2.65,3.5335,5.253,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.92e-16,0.0,0.7437,0.2555,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,11.396,28.6030964736696,29.762096473669597,27.545096473669595,2.2170000000000023
0.00077741,-1.3,10.04139,0.1393976957,1.4351948564,0.139,-2.474,3.549,5.204,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.83e-16,0.0,0.7421,0.2571,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,10.955,28.078096473669596,29.124096473669596,27.070096473669597,2.0539999999999985
0.00077741,-1.3,10.04139,0.1400000006,1.4384526719,0.14,-2.469,3.5494,5.203,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.86e-16,0.0,0.7421,0.2571,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,10.943,28.063096473669596,29.106096473669595,27.056096473669598,2.049999999999997
0.00077741,-1.3,10.04139,0.1599999964,1.5372931554,0.16,-2.329,3.5598,5.162,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.87e-16,0.0,0.7408,0.2584,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,10.593,27.6610964736696,28.640096473669598,26.684096473669598,1.9559999999999995
0.00077741,-1.3,10.04139,0.2000000179,1.6938791367,0.2,-2.109,3.5736,5.094,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.21e-16,0.0,0.7395,0.2597,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,10.041,27.047096473669598,27.950096473669596,26.109096473669595,1.841000000000001
0.00077741,-1.3,10.04139,0.25,1.8403257998,0.25,-1.904,3.5848,5.031,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.82e-16,0.0,0.7393,0.2599,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,9.529,26.490096473669595,27.340096473669597,25.581096473669596,1.7590000000000003
0.00077741,-1.3,10.04139,0.3000000417,1.9529140366,0.3,-1.747,3.5933,4.987,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.65e-16,0.0,0.7395,0.2597,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,9.137,26.066096473669596,26.878096473669597,25.179096473669595,1.6990000000000016
0.00077741,-1.3,10.04139,0.349999994,2.0434174644,0.35,-1.62,3.6005,4.956,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.7e-15,0.0,0.7451,0.2541,0.0001471,3.97e-05,0.0003601,-1.0,0.0008183,8.819,25.7220964736696,26.5040964736696,24.852096473669597,1.652000000000001
0.00077741,-1.3,10.04139,0.4000000358,2.118502481,0.4,-1.473,3.6116,4.911,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.35e-15,0.0,0.7494,0.2498,0.0001471,3.97e-05,0.0003601,-1.0,0.0008183,8.451,25.316096473669596,26.054096473669595,24.474096473669597,1.5799999999999983
0.00077741,-1.3,10.04139,0.4500000477,2.1822809714,0.45,-1.297,3.6294,4.858,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.52e-15,0.0,0.7494,0.2497,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,8.013,24.8210964736696,25.490096473669595,24.024096473669598,1.4659999999999975
0.00077741,-1.3,10.04139,0.5,2.2374541529,0.5,-1.097,3.6569,4.814,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.57e-15,0.0,0.7494,0.2497,0.0001471,3.97e-05,0.0003601,-1.0,0.0008184,7.513,24.2370964736696,24.807096473669596,23.512096473669597,1.2949999999999982
0.00077741,-1.3,10.04139,0.5500000715,2.2836583126,0.55,-0.881,3.6856,4.753,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-9.36e-15,0.0,0.7811,0.2182,0.0001298,3.505e-05,0.000318,-1.0,0.0007085,6.972,23.617096473669598,24.096096473669597,22.966096473669598,1.129999999999999
0.00077741,-1.3,10.04139,0.6000000238,2.3211213258,0.6,-0.677,3.7134,4.698,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-1.53e-14,0.0,0.7901,0.2092,0.0001252,3.382e-05,0.000307,-1.0,0.0006862,6.462,23.054096473669595,23.465096473669597,22.465096473669597,1.0
0.00077741,-1.3,10.04139,0.6149434447,2.3309671684,0.615,-0.614,3.7227,4.683,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-1.77e-14,0.0,0.7932,0.2061,0.0001237,3.341e-05,0.0003033,-1.0,0.0007021,6.305,22.8850964736696,23.2750964736696,22.3150964736696,0.9600000000000009
0.00077741,-1.3,10.04139,0.6296229959,2.3401176999,0.629,-0.552,3.7318,4.668,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.06e-14,0.0,0.7963,0.203,0.0001221,3.298e-05,0.0002995,-1.0,0.0006804,6.15,22.721096473669597,23.0920964736696,22.1700964736696,0.9220000000000006
0.00077741,-1.3,10.04139,0.6422100663,2.34758198,0.642,-0.499,3.7394,4.654,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.32e-14,0.0,0.7991,0.2002,0.0001206,3.26e-05,0.0002961,-1.0,0.000715,6.017,22.582096473669598,22.938096473669596,22.046096473669596,0.8919999999999995
0.00077741,-1.3,10.04139,0.6499999762,2.3520353107,0.65,-0.466,3.744,4.645,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.53e-14,0.0,0.8009,0.1985,0.0001197,3.236e-05,0.0002939,-1.0,0.0006625,5.934,22.497096473669597,22.843096473669597,21.971096473669597,0.8719999999999999
0.00077741,-1.3,10.04139,0.6524080038,2.3533872085,0.652,-0.455,3.7454,4.641,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.6e-14,0.0,0.8015,0.1978,0.0001194,3.228e-05,0.0002931,-1.0,0.0006557,5.909,22.471096473669597,22.814096473669597,21.948096473669597,0.8659999999999997
0.00077741,-1.3,10.04139,0.6665483117,2.3610996303,0.666,-0.395,3.753,4.621,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-3.03e-14,0.0,0.8056,0.1938,0.0001174,3.174e-05,0.0002883,-1.0,0.0006547,5.757,22.317096473669597,22.645096473669597,21.811096473669597,0.8339999999999996
0.00077741,-1.3,10.04139,0.6799727082,2.3680812771,0.68,-0.337,3.76,4.599,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-3.52e-14,0.0,0.8097,0.1897,0.0001153,3.12e-05,0.0002834,-1.0,0.0006547,5.612,22.171096473669596,22.4840964736696,21.680096473669597,0.804000000000002
0.00077741,-1.3,10.04139,0.6924008131,2.3742680235,0.692,-0.282,3.7663,4.577,1,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1,-4.05e-14,0.0,0.8137,0.1856,0.0001133,3.066e-05,0.0002786,-1.0,0.0006532,5.475,22.035096473669597,22.335096473669598,21.558096473669597,0.777000000000001
0.00077741,-1.3,10.04139,0.6999999881,2.3779266974,0.7,-0.248,3.7701,4.563,1,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1,-4.43e-14,0.0,0.8163,0.183,0.000112,3.032e-05,0.0002756,-1.0,0.0006547,5.389,21.950096473669596,22.243096473669596,21.4810964736696,0.7619999999999969
0.00077741,-1.3,10.04139,0.7016301155,2.3786996701,0.701,-0.24,3.7709,4.56,1,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1,-4.52e-14,0.0,0.817,0.1823,0.0001116,3.022e-05,0.0002748,-1.0,0.0006528,5.371,21.932096473669596,22.224096473669597,21.465096473669597,0.7590000000000003
