source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,g,bp,rp,bp_rp,radial_velocity,radial_velocity_error,ruwe,phi1,phi2,pm_phi1,pm_phi2
3027718301757362816,111.68234160612694,-17.087475180424782,0.6221592182334619,1.1735964,0.2537279151267348,0.9493477,-11.030392445528136,0.9245057,20.653355,20.65259,19.737272,0.91531754,,,0.9762265,-62.83679891343189,2.650857643128083,-9.261320632050507,-5.996822117391376
3027333335248491648,113.5765777591855,-16.692080449514993,-0.6926440181411293,1.0113825,-4.063797306870913,0.88207525,-7.827935165712508,1.1674634,20.466698,19.759909,19.027044,0.7328644,,,1.0013777,-61.55640586358783,1.3076594556686874,-8.80275270555909,-0.55005664681187
3028695423994025216,115.1301022427984,-16.587358978240193,-3.8089162670651113,1.6786945,-5.189604895844699,2.1229196,-12.298517213758542,2.8281803,20.830236,20.430914,19.40352,1.0273933,,,1.1928973,-60.70460525526903,0.0824792950425161,-13.228947271236953,-1.783389673325169
3028835371213784320,115.77145800306825,-15.970180101955522,0.6079087205303192,1.3107826,-0.83304880957076,1.0983121,-9.229467961281989,1.2371036,20.815063,20.581663,19.663065,0.9185982,,,1.0334475,-59.86049596979893,-0.1352408474977182,-8.38370463369269,-3.9484865179531408
3029701477134926208,117.18959301801124,-13.914534299968055,0.4967394866710141,0.5627283,-2.712578926000012,0.40652028,-9.564251501269164,0.43205535,19.724346,19.213017,18.560558,0.6524582,,,1.033148,-57.3946708201122,-0.2856366746196716,-9.638326713134626,-2.436318817434272
3029399970432642560,117.22217308888284,-14.698551802635068,0.092701949019792,0.17417817,-1.8563591607853944,0.16701283,-9.475860698113348,0.1696043,18.676113,18.99207,18.286516,0.70555305,,,1.062911,-58.05779266535029,-0.7051415327295724,-9.134179039732246,-3.131258305218072
3029533870334161920,115.80304101054811,-14.890134303689354,0.6700313485329568,0.8166285,-2.4874500282860352,0.63891345,-7.594497101469808,0.72455424,20.361586,20.192389,19.523724,0.66866493,,,1.062215,-58.91327685632831,0.3845784678156413,-7.810092515835322,-1.6929999295766651
3029510226536753152,117.5126781885896,-14.003901697441975,-0.1472538011931418,0.44091153,-1.7714762350179218,0.4259124,-8.569256875118445,0.41700503,19.762394,20.106937,19.269405,0.83753204,,,1.0720168,-57.31539421290904,-0.6018830443602332,-8.309682592268036,-2.742164593666026
3029557612917875584,116.41154107206424,-14.561333144467506,0.8298853080827902,0.6621771,-2.3971605827224955,0.6073206,-9.291217056182154,0.5754072,19.875708,18.740921,17.984577,0.75634384,,,1.0221511,-58.33254280909165,0.0422188137481169,-9.235561022429374,-2.603364332058019
3030053149064820480,114.72742947475643,-14.23979042630583,-0.3254882956733905,2.0107644,-2.4817706682557,1.5288366,-8.17741109460381,2.1418376,20.754946,19.421564,18.58866,0.8329048,,,1.0005276,-58.88133114286205,1.6116420979462878,-8.30068670306456,-2.031708177256529
